time,temperature,humidity,precipitation,surface_wind_speed,work_day,power_load
2021-01-01 0:00,-4.85,34.93,0,3.29,1,4999.46
2021-01-01 0:15,-4.85,34.93,0,3.29,1,4921.943
2021-01-01 0:30,-4.85,34.93,0,3.29,1,4890.578
2021-01-01 0:45,-4.85,34.93,0,3.29,1,4875.656
2021-01-01 1:00,-4.64,32.82,0,3.07,1,4818.934
2021-01-01 1:15,-4.64,32.82,0,3.07,1,4803.346
2021-01-01 1:30,-4.64,32.82,0,3.07,1,4796.01
2021-01-01 1:45,-4.64,32.82,0,3.07,1,4802.873
2021-01-01 2:00,-4.64,32.55,0,2.78,1,4748.181
2021-01-01 2:15,-4.64,32.55,0,2.78,1,4729.763
2021-01-01 2:30,-4.64,32.55,0,2.78,1,4709.127
2021-01-01 2:45,-4.64,32.55,0,2.78,1,4697.191
2021-01-01 3:00,-5.19,36.46,0,2.84,1,4646.307
2021-01-01 3:15,-5.19,36.46,0,2.84,1,4675.11
2021-01-01 3:30,-5.19,36.46,0,2.84,1,4687.901
2021-01-01 3:45,-5.19,36.46,0,2.84,1,4680.082
2021-01-01 4:00,-5.26,36.73,0,2.85,1,4658.821
2021-01-01 4:15,-5.26,36.73,0,2.85,1,4629.371
2021-01-01 4:30,-5.26,36.73,0,2.85,1,4616.445
2021-01-01 4:45,-5.26,36.73,0,2.85,1,4630.245
2021-01-01 5:00,-5.41,38.63,0,3.03,1,4612.951
2021-01-01 5:15,-5.41,38.63,0,3.03,1,4659.761
2021-01-01 5:30,-5.41,38.63,0,3.03,1,4677.165
2021-01-01 5:45,-5.41,38.63,0,3.03,1,4682.357
2021-01-01 6:00,-5.42,38.93,0,2.96,1,4744.919
2021-01-01 6:15,-5.42,38.93,0,2.96,1,4776.98
2021-01-01 6:30,-5.42,38.93,0,2.96,1,4802.296
2021-01-01 6:45,-5.42,38.93,0,2.96,1,4826.098
2021-01-01 7:00,-5.11,38.01,0,3.33,1,4882.639
2021-01-01 7:15,-5.11,38.01,0,3.33,1,4938.674
2021-01-01 7:30,-5.11,38.01,0,3.33,1,5043.973
2021-01-01 7:45,-5.11,38.01,0,3.33,1,5197.372
2021-01-01 8:00,-2.43,38.68,0,4.1,1,5262.339
2021-01-01 8:15,-2.43,38.68,0,4.1,1,5435.605
2021-01-01 8:30,-2.43,38.68,0,4.1,1,5503.553
2021-01-01 8:45,-2.43,38.68,0,4.1,1,5574.753
2021-01-01 9:00,2.39,25.51,0,4.32,1,5634.909
2021-01-01 9:15,2.39,25.51,0,4.32,1,5694.974
2021-01-01 9:30,2.39,25.51,0,4.32,1,5676.961
2021-01-01 9:45,2.39,25.51,0,4.32,1,5607.526
2021-01-01 10:00,2.61,26.13,0,5.05,1,5651.541
2021-01-01 10:15,2.61,26.13,0,5.05,1,5619.974
2021-01-01 10:30,2.61,26.13,0,5.05,1,5629.972
2021-01-01 10:45,2.61,26.13,0,5.05,1,5554.132
2021-01-01 11:00,2.61,26.31,0,5.24,1,5549.191
2021-01-01 11:15,2.61,26.31,0,5.24,1,5630.913
2021-01-01 11:30,2.61,26.31,0,5.24,1,5561.271
2021-01-01 11:45,2.61,26.31,0,5.24,1,5525.555
2021-01-01 12:00,7.08,19.89,0,5.21,1,5431.861
2021-01-01 12:15,7.08,19.89,0,5.21,1,5351.31
2021-01-01 12:30,7.08,19.89,0,5.21,1,5296.753
2021-01-01 12:45,7.08,19.89,0,5.21,1,5270.315
2021-01-01 13:00,7.1,19.93,0,5.15,1,5244.025
2021-01-01 13:15,7.1,19.93,0,5.15,1,5238.953
2021-01-01 13:30,7.1,19.93,0,5.15,1,5217.596
2021-01-01 13:45,7.1,19.93,0,5.15,1,5167.982
2021-01-01 14:00,7.07,19.86,0,4.83,1,5178.792
2021-01-01 14:15,7.07,19.86,0,4.83,1,5132.641
2021-01-01 14:30,7.07,19.86,0,4.83,1,5083.882
2021-01-01 14:45,7.07,19.86,0,4.83,1,5121.259
2021-01-01 15:00,6.61,19.46,0,3.61,1,5173.713
2021-01-01 15:15,6.61,19.46,0,3.61,1,5127.366
2021-01-01 15:30,6.61,19.46,0,3.61,1,5147.162
2021-01-01 15:45,6.61,19.46,0,3.61,1,5260.723
2021-01-01 16:00,6.43,16.76,0,2.66,1,5328.325
2021-01-01 16:15,6.43,16.76,0,2.66,1,5386.947
2021-01-01 16:30,6.43,16.76,0,2.66,1,5523.5
2021-01-01 16:45,6.43,16.76,0,2.66,1,5558.475
2021-01-01 17:00,-0.12,37.43,0,3.62,1,5644.587
2021-01-01 17:15,-0.12,37.43,0,3.62,1,5753.996
2021-01-01 17:30,-0.12,37.43,0,3.62,1,5866.5
2021-01-01 17:45,-0.12,37.43,0,3.62,1,5980.086
2021-01-01 18:00,0.23,36.17,0,3.61,1,5996.793
2021-01-01 18:15,0.23,36.17,0,3.61,1,5983.013
2021-01-01 18:30,0.23,36.17,0,3.61,1,5999.05
2021-01-01 18:45,0.23,36.17,0,3.61,1,5985.751
2021-01-01 19:00,0.1,36.71,0,3.19,1,6014.926
2021-01-01 19:15,0.1,36.71,0,3.19,1,6014.196
2021-01-01 19:30,0.1,36.71,0,3.19,1,5993.029
2021-01-01 19:45,0.1,36.71,0,3.19,1,6043.683
2021-01-01 20:00,-0.12,37.71,0,2.86,1,5991.682
2021-01-01 20:15,-0.12,37.71,0,2.86,1,6022.879
2021-01-01 20:30,-0.12,37.71,0,2.86,1,5950.231
2021-01-01 20:45,-0.12,37.71,0,2.86,1,6003.912
2021-01-01 21:00,-1.22,42.24,0,2.54,1,5913.566
2021-01-01 21:15,-1.22,42.24,0,2.54,1,5865.039
2021-01-01 21:30,-1.22,42.24,0,2.54,1,5820.953
2021-01-01 21:45,-1.22,42.24,0,2.54,1,5743.806
2021-01-01 22:00,-1.94,44.41,0,2.22,1,5647.53
2021-01-01 22:15,-1.94,44.41,0,2.22,1,5548.427
2021-01-01 22:30,-1.94,44.41,0,2.22,1,5485.519
2021-01-01 22:45,-1.94,44.41,0,2.22,1,5374.497
2021-01-01 23:00,-1.39,42.17,0,2.33,1,5320.687
2021-01-01 23:15,-1.39,42.17,0,2.33,1,5207.31
2021-01-01 23:30,-1.39,42.17,0,2.33,1,5116.025
2021-01-01 23:45,-1.39,42.17,0,2.33,1,5065.36
2021-01-02 0:00,-2.3,46.55,0,2.23,1,5046.163
2021-01-02 0:15,-2.3,46.55,0,2.23,1,4976.478
2021-01-02 0:30,-2.3,46.55,0,2.23,1,4970.841
2021-01-02 0:45,-2.3,46.55,0,2.23,1,4973.457
2021-01-02 1:00,-2.56,47.95,0,1.62,1,4954.729
2021-01-02 1:15,-2.56,47.95,0,1.62,1,4870.015
2021-01-02 1:30,-2.56,47.95,0,1.62,1,4885.419
2021-01-02 1:45,-2.56,47.95,0,1.62,1,4830.302
2021-01-02 2:00,-2.64,49.01,0,1.38,1,4830.282
2021-01-02 2:15,-2.64,49.01,0,1.38,1,4796.165
2021-01-02 2:30,-2.64,49.01,0,1.38,1,4713.278
2021-01-02 2:45,-2.64,49.01,0,1.38,1,4799.37
2021-01-02 3:00,-3.73,53.17,0,1.33,1,4809.888
2021-01-02 3:15,-3.73,53.17,0,1.33,1,4761.357
2021-01-02 3:30,-3.73,53.17,0,1.33,1,4718.786
2021-01-02 3:45,-3.73,53.17,0,1.33,1,4761.86
2021-01-02 4:00,-3.45,52.5,0,1.15,1,4686.674
2021-01-02 4:15,-3.45,52.5,0,1.15,1,4733.727
2021-01-02 4:30,-3.45,52.5,0,1.15,1,4761.338
2021-01-02 4:45,-3.45,52.5,0,1.15,1,4781.758
2021-01-02 5:00,-3.13,53.08,0,1.06,1,4746.557
2021-01-02 5:15,-3.13,53.08,0,1.06,1,4793.335
2021-01-02 5:30,-3.13,53.08,0,1.06,1,4776.898
2021-01-02 5:45,-3.13,53.08,0,1.06,1,4817.151
2021-01-02 6:00,-2.77,50.93,0,0.59,1,4836.855
2021-01-02 6:15,-2.77,50.93,0,0.59,1,4864.567
2021-01-02 6:30,-2.77,50.93,0,0.59,1,4860.569
2021-01-02 6:45,-2.77,50.93,0,0.59,1,4926.945
2021-01-02 7:00,-2.79,50.38,0,0.94,1,4954.132
2021-01-02 7:15,-2.79,50.38,0,0.94,1,5037.424
2021-01-02 7:30,-2.79,50.38,0,0.94,1,5079.412
2021-01-02 7:45,-2.79,50.38,0,0.94,1,5273.984
2021-01-02 8:00,-3.25,54.08,0,0.61,1,5402.602
2021-01-02 8:15,-3.25,54.08,0,0.61,1,5586.87
2021-01-02 8:30,-3.25,54.08,0,0.61,1,5697.892
2021-01-02 8:45,-3.25,54.08,0,0.61,1,5788.699
2021-01-02 9:00,2.16,36.29,0,0.15,1,5910.883
2021-01-02 9:15,2.16,36.29,0,0.15,1,5952.234
2021-01-02 9:30,2.16,36.29,0,0.15,1,5993.131
2021-01-02 9:45,2.16,36.29,0,0.15,1,5973.896
2021-01-02 10:00,3.26,34.91,0,0.27,1,6076.97
2021-01-02 10:15,3.26,34.91,0,0.27,1,6021.135
2021-01-02 10:30,3.26,34.91,0,0.27,1,5989.661
2021-01-02 10:45,3.26,34.91,0,0.27,1,5982.871
2021-01-02 11:00,3.65,32.89,0,0.41,1,5989.173
2021-01-02 11:15,3.65,32.89,0,0.41,1,5990.941
2021-01-02 11:30,3.65,32.89,0,0.41,1,5906.525
2021-01-02 11:45,3.65,32.89,0,0.41,1,5862.12
2021-01-02 12:00,7.5,23.21,0,1.02,1,5738.779
2021-01-02 12:15,7.5,23.21,0,1.02,1,5575.699
2021-01-02 12:30,7.5,23.21,0,1.02,1,5566.243
2021-01-02 12:45,7.5,23.21,0,1.02,1,5503.34
2021-01-02 13:00,7.57,25.02,0,1.42,1,5509.334
2021-01-02 13:15,7.57,25.02,0,1.42,1,5522.755
2021-01-02 13:30,7.57,25.02,0,1.42,1,5481.924
2021-01-02 13:45,7.57,25.02,0,1.42,1,5485.598
2021-01-02 14:00,7.47,27.07,0,1.88,1,5518.535
2021-01-02 14:15,7.47,27.07,0,1.88,1,5453.14
2021-01-02 14:30,7.47,27.07,0,1.88,1,5503.917
2021-01-02 14:45,7.47,27.07,0,1.88,1,5518.28
2021-01-02 15:00,5.82,36.33,0,1.68,1,5552.948
2021-01-02 15:15,5.82,36.33,0,1.68,1,5513.755
2021-01-02 15:30,5.82,36.33,0,1.68,1,5561.583
2021-01-02 15:45,5.82,36.33,0,1.68,1,5639.869
2021-01-02 16:00,3.72,46.02,0,2.55,1,5695.387
2021-01-02 16:15,3.72,46.02,0,2.55,1,5726.078
2021-01-02 16:30,3.72,46.02,0,2.55,1,5840.829
2021-01-02 16:45,3.72,46.02,0,2.55,1,5962.604
2021-01-02 17:00,0.57,48.61,0,1.99,1,6037.989
2021-01-02 17:15,0.57,48.61,0,1.99,1,6111.127
2021-01-02 17:30,0.57,48.61,0,1.99,1,6195.582
2021-01-02 17:45,0.57,48.61,0,1.99,1,6239.819
2021-01-02 18:00,0.68,51.25,0,2.42,1,6208.467
2021-01-02 18:15,0.68,51.25,0,2.42,1,6226.233
2021-01-02 18:30,0.68,51.25,0,2.42,1,6242.967
2021-01-02 18:45,0.68,51.25,0,2.42,1,6245.929
2021-01-02 19:00,0.87,53.1,0,2.62,1,6206.41
2021-01-02 19:15,0.87,53.1,0,2.62,1,6247.202
2021-01-02 19:30,0.87,53.1,0,2.62,1,6162.019
2021-01-02 19:45,0.87,53.1,0,2.62,1,6250.866
2021-01-02 20:00,1.17,54.91,0,2.28,1,6167.417
2021-01-02 20:15,1.17,54.91,0,2.28,1,6171.599
2021-01-02 20:30,1.17,54.91,0,2.28,1,6127.189
